ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division,Source
TN005700,Shri Pn Vedanaraynan,Tamil Nadu,0,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
TN005700,Shri Pn Vedanaraynan,Tamil Nadu,1,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
TN005800,Shri As Ahluwalia,Tamil Nadu,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
TN005800,Shri As Ahluwalia,Tamil Nadu,1,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
AP006700,Shri K Subramanyam,Andhra Pradesh,0,Graduate,Law,"Governance, Law and Management",Second,Supremo
AP006700,Shri K Subramanyam,Andhra Pradesh,1,Graduate,Physics,Natural Sciences,Third,Supremo
AP006800,Shri V K Dar,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
AP006800,Shri V K Dar,Andhra Pradesh,1,P.G.,Philosophy,Social Science and Liberal Arts,First,Supremo
AP006900,Shri V P Ramarao,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
AP006900,Shri V P Ramarao,Andhra Pradesh,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
AP007000,Shri Spb Subramanian,Andhra Pradesh,0,Graduate,Chemistry,Natural Sciences,Ordinary,Supremo
AP007000,Shri Spb Subramanian,Andhra Pradesh,1,P.G.,Chemistry,Natural Sciences,First,Supremo
AP007100,Shri Kvss Narayana,Andhra Pradesh,0,Graduate,Accountancy,Finance,Second,Supremo
AP007100,Shri Kvss Narayana,Andhra Pradesh,1,Graduate,Law,"Governance, Law and Management",First,Supremo
AP007100,Shri Kvss Narayana,Andhra Pradesh,2,P.G.,Accountancy,Finance,Second,Supremo
AP007200,Shri D S Guruswamy,Andhra Pradesh,0,Graduate,Physics,Natural Sciences,Second,Supremo
AP007200,Shri D S Guruswamy,Andhra Pradesh,1,P.G.,Physics,Natural Sciences,First,Supremo
AP007400,Shri Narendra Luther,Andhra Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
AP007400,Shri Narendra Luther,Andhra Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
BH009500,Shri Ps Kohli,Bihar,0,Graduate,Chemistry,Natural Sciences,First,Supremo
BH009500,Shri Ps Kohli,Bihar,1,P.G.,Chemistry,Natural Sciences,First,Supremo
BH009600,Shri R Srinivasan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
BH009600,Shri R Srinivasan,Bihar,1,P.G.,Economic Dev.,Social Science and Liberal Arts,Ordinary,Supremo
BH009800,Shri Ss Sharan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
BH009900,Shri Vv Nathan,Bihar,0,Graduate,Physics,Natural Sciences,Second,Supremo
BH009900,Shri Vv Nathan,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
GJ004100,Shri Rv Chandramaoul,Gujarat,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second,Supremo
GJ004200,Ms. S L Singla,Gujarat,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
GJ004200,Ms. S L Singla,Gujarat,1,P.G.,English Lit,Languages and Fine Arts,Second,Supremo
UP017300,Shri Gn Mehra,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,First,Supremo
UP017300,Shri Gn Mehra,Uttar Pradesh,1,Graduate,Law,"Governance, Law and Management",First,Supremo
UP017300,Shri Gn Mehra,Uttar Pradesh,2,P.G.,History,Social Science and Liberal Arts,First,Supremo
UP017400,Shri Jak Krishnan,Uttar Pradesh,0,Diploma,German,Languages and Fine Arts,First,Supremo
UP017400,Shri Jak Krishnan,Uttar Pradesh,1,Graduate,Chemistry,Natural Sciences,Second,Supremo
UP017400,Shri Jak Krishnan,Uttar Pradesh,2,P.G.,Physical Chem,Natural Sciences,Second,Supremo
UP017500,Shri Pc Jain,Uttar Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
UP017500,Shri Pc Jain,Uttar Pradesh,1,Graduate,Law,"Governance, Law and Management",First,Supremo
UP017500,Shri Pc Jain,Uttar Pradesh,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
UT000600,Shri K Banerji,A G M U T,0,N.A.,N.A.,N.A.,Ordinary,Supremo
WB007500,Shri D Bandhopadhyay,West Bengal,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
WB007500,Shri D Bandhopadhyay,West Bengal,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
WB007600,Shri Dw Telang,West Bengal,0,Diploma,Indl.mgt,"Governance, Law and Management",Ordinary,Supremo
WB007600,Shri Dw Telang,West Bengal,1,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
WB007600,Shri Dw Telang,West Bengal,2,Graduate,Law,"Governance, Law and Management",First,Supremo
WB007600,Shri Dw Telang,West Bengal,3,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
WB007700,Shri A Choudhuri,West Bengal,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
WB007700,Shri A Choudhuri,West Bengal,1,Graduate,Law,"Governance, Law and Management",Ordinary,Supremo
WB007700,Shri A Choudhuri,West Bengal,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
WB007800,Shri Rn Sen Gupta,West Bengal,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
WB007800,Shri Rn Sen Gupta,West Bengal,1,P.G.,History,Social Science and Liberal Arts,Second,Supremo
KL002900,Shri S Narayanaswamy,Kerala,0,Graduate,Chemistry,Natural Sciences,First,Supremo
KL002900,Shri S Narayanaswamy,Kerala,1,P.G.,Chemistry,Natural Sciences,First,Supremo
KN005300,Shri Ksn Murthy,Karnataka,0,Graduate,Botany,Natural Sciences,First,Supremo
KN005300,Shri Ksn Murthy,Karnataka,1,P.G.,Botany,Natural Sciences,First,Supremo
